City,State,Church,Pastor,Stat Year,Comm,Non Comm,Prof Child,Prof Adult,Trans Letter,Reaffirmation,Restored,Death,Trans,Removed From Roll,Discipline,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades Included,Total Enrollment,Tithes & Offerings,Special Causes,Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,Administration,Discipleship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,Ridge Haven,Reformed University Ministries,PCA Office Building,Other,Presbytery Operation,Christian Education,Home Missions,Internat'l Missions,Other Presbytery Min,Local Ministries,Mercy Ministires,PCA Internat'l Missions,PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total Benevolent Disbursements,Current Expenses,Building Fund,Total All Disbursements,Benevol Grand Total,Per Capita Giving
Ackerman,MS,Old Lebanon Presbyterian Church,No Pastor Reported,2022,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Grades Included Reported,0,40000,0,0,0,40000,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,250,0,0,250,1.0,1538.46153846154
Webster Groves,MO,Old Orchard Church,Ryan Sparks,2022,85,19,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,No Grades Included Reported,0,312976,0,0,0,312976,0,312976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49078,0,0,0,0,0,49078,295206,0,344284,0.142550917265978,3682.07058823529
McConnells,SC,Olivet Presbyterian Church,John M. McArthur Jr.,2022,157,43,4,0,1,0,0,3,7,1,0,0,0,7,9,77,30,12,85,No Grades Included Reported,0,256779,335,0,3500,260614,122,260736,1368,1197,2568,21781,1539,0,800,1350,0,335,7000,0,700,0,0,0,395,9294,0,0,3090,0,51417,180359,20208,251984,0.20404866975681,1659.96178343949
Maitland,FL,Orangewood Church,Tyler L. Groff,2022,599,220,9,33,0,0,0,3,117,0,0,2,9,29,10,266,30,250,557,PKEMH,974,2700000,90000,0,0,2790000,0,2790000,1000,0,1000,4000,1000,0,0,6000,0,0,12000,0,12000,0,0,64900,66539,134740,0,0,0,0,303179,2343000,0,2646179,0.11457237019869,4657.76293823038
Cary,NC,Peace Presbyterian Church,Christopher Florence,2022,448,142,1,1,12,16,0,6,7,36,0,1,9,12,10,218,174,140,380,No Grades Included Reported,0,1302895,75318,0,19000,1397213,122909,1520122,3553,1884,23700,49413,4960,5050,2020,15200,0,0,16500,0,0,0,0,16395,46546,0,0,111270,0,5000,301491,1095618,0,1397109,0.215796333714835,3118.77901785714
Ridgeland,MS,Pear Orchard Presbyterian Church,Caleb G. Cangelosi,2022,730,234,11,0,22,10,0,6,28,15,0,2,15,16,18,328,0,0,0,PKEMH,460,2766342,0,8030,1350,2775722,260000,3035722,3408,1508,35100,46969,4440,3588,2265,46228,0,0,21852,0,0,0,0,18800,93591,21689,34000,119870,20000,3500,476808,1923997,574899,2975704,0.16023367915626,3802.35890410959
Pearl,MS,Pearl Presbyterian Church,Joseph F. McLeod Jr.,2022,81,7,0,0,5,2,0,0,4,0,0,0,1,3,4,41,30,0,53,No Grades Included Reported,0,365013,375,4450,0,369838,0,369838,9912,0,1200,1200,0,0,0,1200,0,0,2353,0,0,2100,0,9300,0,0,0,0,0,0,27265,212688,0,239953,0.113626418506958,4565.9012345679
Johns Creek,GA,Perimeter Church,Jeff Norris,2022,4969,1718,35,111,145,67,13,25,33,287,0,20,87,324,86,2552,0,0,4249,KEMH,500,24174651,4139069,0,0,28313720,9175398,37489118,52937,2500,21800,58250,0,0,0,18900,0,45000,28000,0,0,0,0,0,348650,0,76200,9223135,60000,0,9935372,24555839,0,34491211,0.288055180202284,5698.07204668947
Perry,GA,Perry Presbyterian Church,No Pastor Reported,2022,253,22,12,0,0,0,0,4,1,0,0,3,0,8,4,103,110,0,120,No Grades Included Reported,0,630556,5251,12650,22235,670692,548,671240,5850,0,8600,17150,1925,0,0,11325,0,0,5850,0,0,0,0,22479,14305,0,0,0,0,0,87484,776843,0,864327,0.101216322063293,2650.95652173913
Pickens,MS,Pickens Presbyterian Church,No Pastor Reported,2022,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,No Grades Included Reported,0,46858,0,0,0,46858,0,46858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7936,0,0,0,0,0,7936,0,0,7936,1.0,1338.8
Martinsburg,WV,Pilgrim Presbyterian Church,Clayton Willis,2022,85,0,0,0,4,3,0,1,17,3,0,0,1,0,0,0,0,0,0,No Grades Included Reported,0,213738,7272,0,0,221010,0,221010,696,624,3480,6088,765,0,360,1530,0,0,2001,0,0,0,0,5235,5946,0,0,7992,0,0,34717,174742,34486,243945,0.142314866055873,2600.11764705882
Middleburg,FL,Pinewood Church,James D. Funyak,2022,782,200,5,23,7,38,0,5,0,0,0,2,5,25,29,660,85,450,800,PKEM,253,1519653,0,0,7400,1527053,120000,1647053,300,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,10000,10000,25000,50000,40000,6000,0,146300,1457904,0,1604204,0.0911978775766673,1952.75319693095
Cantonment,FL,Pinewoods Presbyterian Church,Joel Treick,2022,244,33,4,0,4,12,0,1,14,0,0,0,2,10,9,121,0,0,176,No Grades Included Reported,0,934931,62435,0,0,997366,47,997413,800,400,400,400,3000,1000,1000,3450,0,0,1000,0,1000,0,0,27512,18393,54140,4882,76278,0,1500,195155,633701,130866,959722,0.203345343755796,4087.56557377049
Ligonier,PA,Pioneer Presbyterian Church,David R. Kenyon,2022,162,39,0,1,0,4,0,2,6,6,0,1,3,3,5,0,55,0,107,No Grades Included Reported,0,251145,0,0,16000,267145,0,267145,1000,0,0,0,0,0,0,0,0,600,1875,0,0,0,12500,7000,7100,12000,0,8200,0,0,50275,336403,0,386678,0.13001774085932,1649.04320987654
Zachary,LA,Plains Presbyterian Church,A. Campbell Silman,2022,278,70,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,No Grades Included Reported,0,743104,0,0,0,743104,0,743104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117240,0,0,0,0,0,117240,812368,0,929608,0.126117675407268,2673.03597122302
DeKalb,MS,Pleasant Springs Presbyterian Church,No Pastor Reported,2022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Grades Included Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Pollock,SD,Pollock Memorial Presbyterian Church,Floyd Alan Haan,2022,107,13,0,1,0,3,0,4,1,1,0,0,1,5,4,0,21,15,65,No Grades Included Reported,0,150331,6459,0,8486,165276,24,165300,800,700,2300,9584,0,500,0,3150,0,996,541,0,1400,0,1900,0,2010,0,0,9190,500,500,34071,154011,24045,212127,0.160616046047886,1544.63551401869
Spartanburg,SC,Powell Presbyterian Church,Bruce Tjelta,2022,35,5,0,0,0,0,0,1,0,1,0,0,0,5,1,19,18,0,35,No Grades Included Reported,0,110113,4500,0,0,114613,0,114613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,0,0,4500,0,0,7956,87292,22821,118069,0.0673843261143907,3274.65714285714
Austin,TX,CrossPointe Church,Steve C. Johnson,2022,135,43,0,0,2,15,1,1,0,15,0,3,2,3,3,76,25,0,105,No Grades Included Reported,0,553060,10102,0,0,563162,50636,613798,0,0,0,0,0,0,0,2400,0,0,3750,0,0,0,5000,2400,0,0,0,8280,0,0,21830,491417,0,513247,0.0425331273246604,4171.57037037037
Coventry,CT,Presbyterian Church of Coventry,Will Snyder,2022,155,33,4,6,3,0,0,2,14,0,1,0,4,7,6,81,40,0,142,No Grades Included Reported,0,441931,31251,0,0,473182,0,473182,1288,0,4580,0,1792,1792,752,30820,0,0,0,1288,0,0,8000,0,0,0,3800,21900,0,0,76012,0,0,76012,1.0,3052.78709677419
Manchester,CT,Presbyterian Church of Manchester,Michael Robison,2022,107,36,0,2,3,0,0,0,1,0,0,0,0,4,4,62,40,50,90,No Grades Included Reported,0,287782,38005,3000,0,328787,206784,535571,1100,900,0,8000,0,0,0,2000,0,0,1000,0,0,0,0,34784,4550,0,0,3200,0,1250,56784,182681,278840,518305,0.109557114054466,3072.77570093458
Pitcairn,PA,Presbyterian Church of Pitcairn,Jeremy Reid Whipkey,2022,81,20,1,1,2,0,0,3,2,0,0,1,0,2,2,54,25,33,66,No Grades Included Reported,0,169061,42331,5770,6330,223492,1753,225245,200,0,640,7345,0,0,0,5338,0,0,400,409,0,0,0,5915,10791,0,801,2260,0,2010,36109,158508,6400,201017,0.179631573449012,2759.16049382716
Wellsville,NY,Presbyterian Church of Wellsville,Tom Kristoffersen,2022,41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Grades Included Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bessemer,AL,Church of the Way,Jim Maples,2022,49,2,0,0,0,0,0,1,2,0,0,0,1,1,2,26,8,4,18,No Grades Included Reported,0,85515,814,0,0,86329,1525,87854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,200,2000,0,4000,0,0,6608,92358,0,98966,0.0667704059980195,1761.81632653061
Johnson City,TN,Princeton Presbyterian Church,No Pastor Reported,2022,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,No Grades Included Reported,0,53449,0,0,0,53449,0,53449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13673,0,0,0,0,0,13673,0,0,13673,1.0,1781.63333333333
Charlotte,NC,Prosperity Presbyterian Church,Bruce Brown,2022,81,15,7,0,2,0,0,2,0,0,0,0,1,2,4,0,38,0,65,P,48,154788,0,0,0,154788,0,154788,0,0,0,0,0,0,0,0,0,0,500,0,0,5160,0,0,5400,0,0,50,0,0,11110,144000,0,155110,0.0716265875830056,1910.96296296296
Robinson Township,PA,Providence Presbyterian Church,Ray E. Heiple Jr.,2022,312,136,0,18,2,5,0,5,4,4,0,2,12,12,11,142,104,0,292,No Grades Included Reported,0,826195,8976,0,21097,856268,17732,874000,1000,0,0,0,0,0,0,4300,0,0,2750,0,1000,0,0,3000,1600,11200,0,28400,0,3500,56750,672721,0,729471,0.0777961015585267,2744.44871794872
York,PA,Providence Presbyterian Church,Vincent L. Wood,2022,192,36,0,0,10,4,0,1,8,2,3,0,0,6,4,85,24,0,99,No Grades Included Reported,0,402999,0,0,0,402999,51744,454743,0,0,0,21600,0,0,0,7200,0,0,5200,0,0,0,0,14250,24805,0,0,19683,0,0,92738,378249,0,470987,0.196901400675603,2098.953125
Murphy,NC,Providence Presbyterian Church,David Hina,2022,45,0,3,1,0,4,0,0,5,0,0,1,1,2,3,21,30,12,55,No Grades Included Reported,0,124481,0,16000,0,140481,0,140481,240,255,780,900,270,300,120,540,0,0,765,0,0,0,0,5315,4256,7710,3308,2000,0,0,26759,120679,0,147438,0.181493237835565,3121.8
Barboursville,WV,Providence Reformed Presbyterian Church,Eric Ansell Dugan,2022,38,0,0,0,0,3,0,0,0,0,0,0,0,3,2,24,23,12,36,No Grades Included Reported,0,113778,0,0,0,113778,12,113790,500,0,0,5600,0,0,0,0,0,0,1500,0,0,0,0,0,800,0,0,9200,0,0,17600,89327,0,106927,0.164598277329393,2994.15789473684
Pulaski,VA,Pulaski Presbyterian Church,No Pastor Reported,2022,13,4,0,0,0,0,0,0,0,0,0,0,0,2,0,6,8,4,15,No Grades Included Reported,0,34429,0,0,0,34429,0,34429,168,0,0,600,0,0,0,0,0,0,752,0,0,0,0,2160,0,0,0,0,0,1200,4880,42513,0,47393,0.102968792859705,2648.38461538462
Quakertown,PA,Providence Presbyterian Church,Mark J. Fodale,2022,156,32,4,8,1,5,0,1,4,6,22,0,2,6,4,100,115,0,180,No Grades Included Reported,0,350174,0,0,0,350174,0,350174,1296,1136,4214,4860,1458,1620,648,2916,0,0,200,0,3000,5550,0,2750,2500,0,0,9150,0,0,41298,244914,43788,330000,0.125145454545455,2244.70512820513
Aliquippa,PA,New Life Presbyterian Church of Hopewell Township,Jared Nelson,2022,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,No Grades Included Reported,0,180259,0,0,0,180259,0,180259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26764,0,0,0,0,0,26764,0,0,26764,1.0,1489.74380165289
Raymond,MS,Raymond Presbyterian Church,Zachery Byrd,2022,68,11,3,1,7,2,0,4,0,0,0,3,3,2,1,41,20,18,50,No Grades Included Reported,0,170816,3532,0,0,174348,181192,355540,0,1700,0,0,0,0,0,0,0,0,1512,0,0,0,0,0,0,500,0,4500,0,0,8212,217994,0,226206,0.0363031926650929,2563.94117647059
Chattanooga,TN,Red Bank Presbyterian Church,W. Eric Duble,2022,78,16,0,0,4,2,0,3,0,0,0,0,0,5,3,0,10,8,42,No Grades Included Reported,0,101992,690,0,33555,136237,15,136252,0,0,0,0,1000,0,0,0,0,0,3000,0,0,0,0,400,0,2100,0,0,0,0,6500,116459,0,122959,0.0528631495051196,1746.62820512821
Winston-Salem,NC,Redeemer Presbyterian Church,Giorgio W.K. Hiatt,2022,518,14,7,0,13,0,0,0,6,0,0,2,15,13,18,226,0,175,285,No Grades Included Reported,210,1465827,101649,47000,0,1614476,75000,1689476,0,0,0,0,0,0,0,15467,0,0,24818,0,0,0,0,37154,56880,129129,0,0,0,0,263448,1250517,35000,1548965,0.17008002117543,3116.74903474903
Winston-Salem,NC,Redeemer Presbyterian Church,Giorgio W.K. Hiatt,2022,518,14,7,0,13,0,0,0,6,0,0,2,15,13,18,226,0,175,285,No Grades Included Reported,210,1465827,101649,47000,0,1614476,75000,1689476,0,0,0,0,0,0,0,15467,0,0,24818,0,0,0,0,37154,56880,129129,0,0,0,0,263448,1250517,35000,1548965,0.17008002117543,3116.74903474903
Winston-Salem,NC,Redeemer Presbyterian Church,Giorgio W.K. Hiatt,2022,518,14,7,0,13,0,0,0,6,0,0,2,15,13,18,226,0,175,285,No Grades Included Reported,210,1465827,101649,47000,0,1614476,75000,1689476,0,0,0,0,0,0,0,15467,0,0,24818,0,0,0,0,37154,56880,129129,0,0,0,0,263448,1250517,35000,1548965,0.17008002117543,3116.74903474903
Columbia,MO,Redeemer Presbyterian Church,Ryan Speck,2022,40,24,0,0,1,0,0,0,0,0,1,0,1,1,2,19,0,0,45,No Grades Included Reported,0,118800,0,0,0,118800,0,118800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5540,0,0,4700,0,0,10240,108130,0,118370,0.0865084058460759,2970.0
Homestead,FL,Redlands Community Church,William Lee Mashburn,2022,61,7,0,2,2,2,0,1,0,2,0,0,0,3,3,27,37,4,63,No Grades Included Reported,0,289897,924,186929,5250,483000,13081,496081,464,0,0,7150,0,0,0,0,0,274,272,0,0,0,0,4800,3285,0,0,6950,0,0,23195,297149,103393,423737,0.0547391424397681,7918.03278688525
Murrysville,PA,Murrysville Community Church,Jason Leist,2022,159,71,0,0,8,0,0,2,1,5,0,0,6,3,6,95,25,15,150,No Grades Included Reported,0,509965,13265,1140,0,524370,7515,531885,4000,0,46000,37920,0,0,0,11840,0,0,3000,0,0,0,0,0,8937,0,0,10365,14371,2689,139122,361973,89314,590409,0.235636651880307,3297.92452830189
Upper Chichester,PA,Restoration Presbyterian Church,Jonathan Bonomo,2022,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Grades Included Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bowie,MD,Reformed Presbyterian Church of Bowie,Stephen A. Fix,2022,117,43,1,5,0,0,0,1,10,0,0,0,0,7,4,62,25,25,115,No Grades Included Reported,0,450000,0,0,0,450000,0,450000,1024,896,3328,3840,1408,1280,512,2304,0,0,4183,0,6300,0,0,0,0,14490,13607,3675,0,0,56847,320939,0,377786,0.150474077917128,3846.15384615385
Pontotoc,MS,Maple Drive Presbyterian Church,Craig Daniel Jones,2022,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,No Grades Included Reported,0,88899,0,0,0,88899,0,88899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12230,0,0,0,0,0,12230,0,0,12230,1.0,2963.3
Kittanning,PA,Reformed Presbyterian Church of Slate Lick,Richard Crofutt,2022,29,3,0,0,0,1,0,0,0,0,0,0,0,1,3,16,5,0,22,No Grades Included Reported,0,52555,0,0,0,52555,719,53274,300,0,0,0,0,0,0,0,0,0,500,0,0,0,1500,0,0,1600,1600,0,0,0,5500,36354,0,41854,0.131409184307354,1812.24137931034
Cutler,IL,Reformed Presbyterian Church of Cutler,W. Curt Rabe,2022,42,17,0,0,2,0,0,0,0,0,0,0,2,2,0,30,17,0,22,No Grades Included Reported,0,65814,4185,0,0,69999,3600,73599,400,0,0,3200,0,0,0,0,0,0,800,0,0,0,0,0,6768,0,0,1500,0,0,12668,64668,6391,83727,0.151301252881388,1666.64285714286
Ephrata,PA,Reformed Presbyterian Church,David Kieffer,2022,152,46,0,2,1,0,0,0,7,0,0,0,2,11,10,97,76,37,134,No Grades Included Reported,0,342510,2264,5665,691,351130,0,351130,169,169,0,169,0,2520,0,2000,0,0,0,0,3200,0,0,3400,21182,0,1200,29220,0,0,63229,323158,0,386387,0.163641633905903,2310.06578947368
Duanesburg,NY,Reformed Presbyterian Church,Anthony Gorsuch,2022,86,14,0,0,2,0,0,2,0,2,0,0,2,4,8,65,0,14,60,No Grades Included Reported,0,210000,3750,0,0,213750,0,213750,760,668,0,500,860,952,0,0,0,0,500,0,2000,0,0,2050,0,15800,8400,15950,250,0,48690,164000,0,212690,0.228924726127227,2485.46511627907
Reidville,SC,Reidville Presbyterian Church,Duncan Hoopes,2022,26,2,2,6,0,0,0,0,2,4,0,0,0,3,1,15,11,11,20,No Grades Included Reported,0,71997,2390,0,12650,87037,52704,139741,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,500,0,0,580,111323,0,111903,0.00518306032903497,3347.57692307692
Hopewell,VA,River's Edge Bible Church,Russell Bruce Sukhia,2022,39,5,0,0,1,0,0,0,0,0,0,0,0,2,3,0,11,8,19,No Grades Included Reported,0,62594,0,0,0,62594,0,62594,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,1675,0,4400,500,6332,0,0,13507,58356,0,71863,0.187954858550297,1604.97435897436
Germantown,TN,Riveroaks Reformed Presbyterian Church,J. Thomas Lee Jr.,2022,374,71,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,No Grades Included Reported,0,1308974,0,0,0,1308974,0,1308974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344767,0,0,0,0,0,344767,1361279,0,1706046,0.202085406841316,3499.93048128342
Tuscaloosa,AL,Riverwood Presbyterian Church,Jeffrey Glenn Pate,2022,134,13,0,5,8,0,1,1,7,44,0,2,2,6,7,70,80,40,120,KEMH,60,323805,88395,52722,0,464922,0,464922,1400,840,2200,1720,1860,600,744,600,0,0,4842,0,0,0,0,1500,0,1500,0,10310,7500,0,35616,377353,93494,506463,0.0703230048394453,3469.5671641791
Clinton,SC,Rock Bridge Presbyterian Church,Andrew Perrie,2022,12,1,0,0,0,0,0,0,0,0,0,0,0,2,0,8,7,0,17,No Grades Included Reported,0,50187,250,0,275,50712,0,50712,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,396,29269,900,30565,0.0129559954195976,4226.0
Columbia,SC,Rose Hill Presbyterian Church,Max Frederick Rogland,2022,84,13,0,0,2,7,0,2,4,1,0,0,1,4,5,38,0,0,48,No Grades Included Reported,0,292046,0,0,0,292046,1284,293330,397,0,0,0,0,1539,360,0,0,0,3644,1554,0,0,0,4156,5206,14014,5392,0,0,4680,40942,213476,0,254418,0.160924148448616,3476.7380952381
Destin,FL,Safe Harbor Presbyterian Church,James Calderazzo,2022,44,4,1,0,3,0,0,1,0,0,0,1,0,3,0,25,25,0,67,No Grades Included Reported,0,223605,7550,24095,0,255250,0,255250,500,0,100,0,0,0,0,0,0,0,200,0,300,0,0,700,8200,4200,0,1600,0,0,15800,195661,25000,236461,0.0668186297106077,5801.13636363636
Alpine,AL,Salem Presbyterian Church,Michael H. Russell,2022,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,7,25,No Grades Included Reported,0,94583,3120,0,0,97703,90,97793,200,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,5200,10050,5000,0,0,0,0,21450,45858,0,67308,0.318684257443395,3489.39285714286
Blair,SC,Salem Presbyterian Church,Richard B. Hodges,2022,115,11,0,0,0,2,0,2,0,0,0,0,2,5,9,18,40,0,50,No Grades Included Reported,0,158878,0,0,0,158878,0,158878,0,0,0,11144,0,0,0,0,0,0,0,0,0,2752,2952,550,23134,0,3472,8456,0,0,52460,139820,0,192280,0.27283128770543,1381.54782608696
Gaffney,SC,Salem Presbyterian Church,Corey Lanier,2022,53,9,4,0,3,0,0,0,1,0,0,0,0,4,4,30,40,10,55,No Grades Included Reported,0,104907,372,0,100,105379,0,105379,0,0,0,0,0,0,0,0,0,372,1500,0,0,6000,0,0,208,0,0,0,0,0,8080,118268,0,126348,0.0639503593250388,1988.28301886792
Orlando,FL,Pine Ridge Presbyterian Church,William J. Colclasure,2022,129,0,0,0,6,0,0,0,0,0,0,0,4,6,6,64,35,21,96,No Grades Included Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Birchleaf,VA,Sandlick Presbyterian Church,Michael Moon,2022,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,No Grades Included Reported,0,36465,0,0,0,36465,0,36465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659,0,0,0,0,0,1659,0,0,1659,1.0,729.3
New Zion,SC,Sardinia Presbyterian Church,No Pastor Reported,2022,91,21,4,0,0,1,0,0,2,0,0,0,4,3,6,49,18,0,50,No Grades Included Reported,0,85437,16495,27351,4360,133643,0,133643,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000,123812,0,124812,0.00801205012338557,1468.6043956044
Sardis,MS,Sardis Presbyterian Church,No Pastor Reported,2022,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No Grades Included Reported,0,70331,0,0,0,70331,0,70331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1406.62
Lake Wylie,SC,Redeeming Grace PCA,Henry Hamilton Beaulieu,2022,141,30,1,3,12,0,0,7,39,39,0,2,1,9,2,71,50,30,115,No Grades Included Reported,0,636965,0,19600,0,656565,15757,672322,1200,1200,1200,1200,3000,0,2000,4500,0,3000,6500,0,0,0,0,8525,5956,48100,16000,64150,0,0,166531,449976,0,616507,0.270120209502893,4656.48936170213
Scooba,MS,Scooba Presbyterian Church,No Pastor Reported,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,No Grades Included Reported,0,13351,0,0,0,13351,0,13351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,120,0,0,120,1.0,1335.1
Delray Beach,FL,Seacrest Presbyterian Church,No Pastor Reported,2022,169,33,1,3,2,0,0,8,1,29,0,0,0,4,3,108,20,20,100,P,77,356707,585,0,4062,361354,0,361354,0,0,0,0,0,0,0,0,0,5000,1108,5628,12240,30000,0,0,4530,0,0,0,0,0,58506,493548,0,552054,0.105978762947103,2138.18934911243
Yazoo City,MS,Second Presbyterian Church,No Pastor Reported,2022,38,0,0,0,0,0,0,0,1,3,0,0,0,3,2,19,23,0,17,No Grades Included Reported,0,275690,168017,0,100000,543707,5106,548813,143,125,464,11502,161,179,71,821,0,2000,3000,160582,0,1000,5200,500,2400,500,10000,0,1000,500,200148,213583,0,413731,0.483763604854362,14308.0789473684
Greenville,SC,Second Presbyterian Church,Richard D. Phillips,2022,531,127,2,4,32,6,1,12,12,1,0,2,13,16,23,275,370,0,450,No Grades Included Reported,0,1893972,128000,0,0,2021972,230000,2251972,0,0,0,0,0,0,0,0,0,0,7500,0,0,0,0,9095,42300,27200,27200,109320,0,15000,237615,1555347,0,1792962,0.132526511995235,3807.85687382298
Albemarle,NC,Second Street Presbyterian Church,John Chandler Black,2022,57,20,0,1,3,4,0,0,0,0,0,1,1,2,3,28,0,0,35,No Grades Included Reported,0,111437,400,0,0,111837,0,111837,0,0,0,6000,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,7200,121658,0,128858,0.0558754598084713,1962.05263157895
Tampa,FL,Christ Central Presbyterian Church,John K. Keen,2022,131,20,1,0,2,6,0,2,4,15,0,0,1,4,5,64,30,40,101,No Grades Included Reported,0,452165,21794,0,0,473959,4180,478139,311,137,1313,1387,405,327,206,1023,0,0,3000,0,0,0,0,32703,6948,7538,4000,2000,0,0,61298,377613,149210,588121,0.104226851277203,3618.00763358779
Lecanto,FL,Seven Rivers Presbyterian Church,Brandon Lauranzon,2022,1238,191,6,26,49,26,1,14,5,32,1,6,13,8,9,688,0,0,570,PKEMH,638,3413376,0,900965,96617,4410958,427608,4838566,7200,0,3600,21840,0,0,0,10800,0,0,6000,0,60000,0,0,0,72426,48480,61491,43422,127100,4698,467057,3445796,1466157,5379010,0.0868295467009729,3562.97092084006
Glade Spring,VA,Seven Springs Presbyterian Church,Thomas Edwin Rickard,2022,71,7,0,0,0,6,0,2,0,1,0,0,0,5,2,35,30,12,45,No Grades Included Reported,0,95558,2943,5711,0,104212,0,104212,300,0,0,2780,0,0,0,1500,0,0,1000,0,0,0,0,4600,3100,0,0,210,0,3300,16790,86142,8277,111209,0.150976989272451,1467.77464788732
Pasadena,MD,Severna Park Evangelical Presbyterian Church,Daniel Joseph Smith,2022,569,163,21,4,11,10,1,4,4,3,0,2,4,14,11,297,70,364,481,No Grades Included Reported,0,1612391,0,23299,0,1635690,215,1635905,3128,3128,11610,45110,4020,4467,1785,37252,0,0,6240,0,0,0,0,4781,47858,0,0,0,0,0,169379,1606297,152161,1927837,0.0878596063878845,2874.67486818981
Greenville,SC,Eastside Presbyterian Church,Mark Auffarth,2022,197,26,7,1,0,0,0,2,0,0,0,1,0,7,5,73,58,76,118,No Grades Included Reported,0,481586,55350,0,3923,540859,933690,1474549,0,1500,1200,0,0,0,1500,0,0,0,600,0,0,0,0,22290,0,12600,1500,34800,0,2699,78689,567101,0,645790,0.121849207946856,2745.47715736041
Mooresville,NC,Shearer Presbyterian Church,Stephen O. Stout,2022,182,0,1,1,7,1,0,1,0,0,0,0,2,8,4,142,65,10,125,No Grades Included Reported,0,365450,0,12559,25975,403984,4138,408122,1130,500,250,250,0,0,0,2000,0,0,2000,0,0,0,0,13511,26855,9500,1906,5775,0,0,63677,321467,0,385144,0.16533296637102,2219.69230769231
Lancaster,NH,Faith Presbyterian Church,Jason Allen Kleber,2022,40,15,0,0,1,4,0,0,0,0,0,0,0,2,0,21,21,5,50,No Grades Included Reported,0,65468,0,0,8811,74279,0,74279,320,0,0,0,0,0,0,600,0,0,1200,0,0,0,0,0,0,0,0,1500,0,0,3620,88214,0,91834,0.0394189515865584,1856.975
